Product_Name,Product_ASIN,Brand,Price,MRP,Discount,Stock_Status,Rating,Reviews,Seller,Product_Link,Reviews_Link,Scraped_At
"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",B0DZDBHQPQ,Apple,,,(2 used & new offers),Unknown,4.8,,,https://www.amazon.in/Apple-2025-MacBook-13-inch-Laptop/dp/B0DZDBHQPQ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-1,https://www.amazon.in/Apple-2025-MacBook-13-inch-Laptop/dp/B0DZDBHQPQ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-1#customerReviews,2025-10-29 19:36:34
"laptop 16-inch , 8GB DDR 256GB SSD portable laptop computer, expandable to 1TB, Pentium quad-core CPU up to2.64 Hz, 9000mAh battery, interface, USB3.0 interface, dual-band WiFi, webcam, slim laptops",B0FQ1ZB6QK,laptop,,,(1 new offer),Unknown,4.3,,,https://www.amazon.in/portable-expandable-quad-core-interface-dual-band/dp/B0FQ1ZB6QK/ref=sr_1_2?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-2,https://www.amazon.in/portable-expandable-quad-core-interface-dual-band/dp/B0FQ1ZB6QK/ref=sr_1_2?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-2#customerReviews,2025-10-29 19:36:34
"ASUS Vivobook 15 Laptop: 15.6"" Full HD Display, Latest Generation Intel Core 5 120U, 16GB RAM, 512GB SSD, Wi-Fi 6, Windows 11 Home, Silver",B0FTZYNPKQ,ASUS,,,(1 new offer),Unknown,,,,https://www.amazon.in/ASUS-Vivobook-15-Laptop-Generation/dp/B0FTZYNPKQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-3,https://www.amazon.in/ASUS-Vivobook-15-Laptop-Generation/dp/B0FTZYNPKQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-3#customerReviews,2025-10-29 19:36:34
"Dell Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black",B0CTPCTW66,Dell,,,(9 used & new offers),Unknown,4.2,,,https://www.amazon.in/Dell-Inspiron-Touchscreen-i5-1155G7-Processor/dp/B0CTPCTW66/ref=sr_1_4?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-4,https://www.amazon.in/Dell-Inspiron-Touchscreen-i5-1155G7-Processor/dp/B0CTPCTW66/ref=sr_1_4?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-4#customerReviews,2025-10-29 19:36:34
"Laptop,15.6'' Laptop Computer,8GB RAM LPDDR4 128GB SSD(Expandable to 1TB), AMD Athlon Processor Up to 2.6 GHz,WiFi 5,BT 5.0, Webcam, Poratable Student and Business Laptops",B0FGJGQYQ3,"Laptop,15.6''",,,(1 new offer),Unknown,5.0,,,https://www.amazon.in/VIGSENUP-Computer-Expandable-Processor-Poratable/dp/B0FGJGQYQ3/ref=sr_1_5?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-5,https://www.amazon.in/VIGSENUP-Computer-Expandable-Processor-Poratable/dp/B0FGJGQYQ3/ref=sr_1_5?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-5#customerReviews,2025-10-29 19:36:34
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",B0947BJ67M,HP,,,(103 used & new offers),Unknown,4.1,,,https://www.amazon.in/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_6?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-6,https://www.amazon.in/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_6?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-6#customerReviews,2025-10-29 19:36:34
"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",B09SVSBVP1,HP,,,(25 used & new offers),Unknown,4.3,,,https://www.amazon.in/HP-Chromebook-Graphics-Keyboard-14a-na0226nr/dp/B09SVSBVP1/ref=sr_1_7?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-7,https://www.amazon.in/HP-Chromebook-Graphics-Keyboard-14a-na0226nr/dp/B09SVSBVP1/ref=sr_1_7?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-7#customerReviews,2025-10-29 19:36:34
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 416GB Storage (128GB eMMC + 288GB Docking Station Set), Intel UHD Graphics, 720p Camera, Wi-Fi, 1 Year Office 365, Win 11 S, Gold",B0DC6KMWJS,HP,,,(2 used & new offers),Unknown,4.5,,,https://www.amazon.in/HP-Stream-BrightView-N4120-Graphics/dp/B0DC6KMWJS/ref=sr_1_8?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-8,https://www.amazon.in/HP-Stream-BrightView-N4120-Graphics/dp/B0DC6KMWJS/ref=sr_1_8?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-8#customerReviews,2025-10-29 19:36:34
"HP Everyday Laptop | Office 365 | Intel Quad-Core Processor | 11.5 HRs Battery | 1TB Cloud Storage with 128GB SSD, 8GB RAM | Copilot AI Windows 11 w/o Mouse",B0FDFRJNH9,HP,,,(1 new offer),Unknown,3.8,,,https://www.amazon.in/HP-Everyday-Quad-Core-Processor-Battery/dp/B0FDFRJNH9/ref=sr_1_9?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-9,https://www.amazon.in/HP-Everyday-Quad-Core-Processor-Battery/dp/B0FDFRJNH9/ref=sr_1_9?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-9#customerReviews,2025-10-29 19:36:34
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD | AMD Ryzen 3 7320U Quad-Core | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home",B0BS4BP8FB,Acer,312.,$349.99$349.99,(3 used & new offers),Unknown,4.3,,,https://www.amazon.in/Aspire-A315-24P-R7VH-Quad-Core-Graphics-Windows/dp/B0BS4BP8FB/ref=sr_1_10?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-10,https://www.amazon.in/Aspire-A315-24P-R7VH-Quad-Core-Graphics-Windows/dp/B0BS4BP8FB/ref=sr_1_10?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-10#customerReviews,2025-10-29 19:36:34
"Lenovo IdeaPad 1i Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1235U Processor, 16GB RAM, 512GB SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Home, Blue",B0DT1MJP2V,Lenovo,,,(38 used & new offers),Unknown,4.5,,,https://www.amazon.in/Lenovo-IdeaPad-1i-Touchscreen-Processor/dp/B0DT1MJP2V/ref=sr_1_11?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-11,https://www.amazon.in/Lenovo-IdeaPad-1i-Touchscreen-Processor/dp/B0DT1MJP2V/ref=sr_1_11?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-11#customerReviews,2025-10-29 19:36:34
"LG gram Pro 17-inch Lightweight Laptop Computer, Intel Evo Edition Powered by Intel Core Ultra9 285H Processor, NVIDIA RTX5050, Windows 11 Home, 32GB RAM, 2TB SSD, Black",B0FC34H632,LG,3247.,,(3 used & new offers),Unknown,5.0,,,https://www.amazon.in/LG-17-inch-Lightweight-Computer-Processor/dp/B0FC34H632/ref=sr_1_12?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-12,https://www.amazon.in/LG-17-inch-Lightweight-Computer-Processor/dp/B0FC34H632/ref=sr_1_12?dib=eyJ2IjoiMSJ9.hfGYTxOIYvX0Gh4FD7CFF4F-2JuyVuEqv_AQATpyQT766Xi42cU719ugNYEPFmHOwILY6fORqA48YJ_eJj3P7T_Sn5xnq8GFbyHKykxeE4k1ZhL8Yv4zTLijCMCAsy0GhBH6LIWd9Rmdk5a9Tos7hgDHJEwmEh912MGiVv9X_xtAm5rH9HiUmhsJsz2dSxmjegYguZCyrp-eFkGh5RMZhlEVqkiOgxlpzw3ayOnBubU.Re2fdvZZEgKbM9mV-rNcU3XOy9lSF1-MNAfxT574PYM&dib_tag=se&keywords=laptops&qid=1761746816&sr=8-12#customerReviews,2025-10-29 19:36:34
